Index,City,quatity score,business score,Cost of Living Index,Bucket
211,New Providence,0.01,0.17,,
218,The Woodlands,0.02,0.16,,
219,Ridgefield,0.01,0.16,,
220,Cuyahoga Falls,0.02,0.16,,
224,Excelsior,0.01,0.15,,
226,Steamboat Springs,0.02,0.15,,
227,Oxford,0.01,0.15,,
229,Amherst,0.02,0.15,,
233,Potsdam,0.01,0.14,,
234,Mooresville,0.01,0.14,,
235,Morro Bay,0.01,0.14,,
237,Parsippany-Troy Hills,0.01,0.14,,
238,Sudbury,0.01,0.14,,
239,Alexander,0.01,0.14,,
243,Palm Desert,0.02,0.14,,
244,Texas City,0.02,0.14,,
246,Verona,0.01,0.14,,
247,Carmel-by-the-Sea,0.01,0.13,,
251,Orono,0.01,0.13,,
253,Arcata,0.01,0.12,,
256,Wilsonville,0.01,0.12,,
257,Conroe,0.01,0.12,,
260,Hooksett,0.01,0.12,,
261,Ashland,0.01,0.11,,
264,Hartland,0.01,0.1,,
266,Westborough,0.01,0.1,,
